BLANumber,Applicant,Status,OriginalLicensureDate,LastUpdateDate
761381,Bristol-Myers Squibb Company,Licensed,NaT,2024-12-27
761382,Sandoz Inc.,Licensed,NaT,2024-08-09
761384,AbbVie Inc.,Licensed,NaT,2025-05-14
761388,"Genentech, Inc.",Licensed,NaT,2024-06-20
761390,"Galderma Laboratories, L.P.",Licensed,NaT,2024-08-12
761392,"Samsung Bioepis Co., Ltd.",Licensed,NaT,2025-02-13
761394,"Daiichi Sankyo, Inc",Licensed,NaT,2025-01-17
761398,"Fresenius Kabi USA, LLC",Licensed,NaT,2025-03-25
761399,"CELLTRION, Inc.",Licensed,NaT,2025-03-07
761400,"Regeneron Pharmaceuticals, Inc.",Licensed,NaT,2025-07-02
761404,"CELLTRION, Inc.",Licensed,NaT,2025-02-28
761406,Biocon Biologics Inc.,Licensed,NaT,2024-11-29
761411,Incyte Corporation,Licensed,NaT,2024-08-14
761416,Jazz Pharmaceuticals Ireland Limited,Licensed,NaT,2024-11-20
761419,"Bio-Thera Solutions, Ltd.",Licensed,NaT,2025-05-22
761420,"CELLTRION, Inc.",Licensed,NaT,2025-01-24
761425,"Samsung Bioepis Co., Ltd.",Licensed,NaT,2024-06-28
761430,"Janssen Biotech, Inc.",Licensed,NaT,2025-04-29
761432,Merck Sharp & Dohme LLC,Licensed,NaT,2025-06-09
761436,Biocon Biologics Inc.,Licensed,NaT,2025-09-16
761444,"Shanghai Henlius Biotech, Inc.",Licensed,NaT,2025-08-29
761449,"Fresenius Kabi USA, LLC",Licensed,NaT,2025-03-14
761467,Merck Sharp & Dohme LLC,Licensed,NaT,2025-09-19
