BLANumber,Applicant,Status,OriginalLicensureDate,LastUpdateDate
101387,"Allergy Laboratories, Inc.",Voluntarily Revoked,NaT,2030-06-14
101447,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,1979-12-21
101448,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2001-03-14
101452,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,2054-03-03
101834,"Greer Laboratories, Inc.",Licensed,NaT,2058-09-15
101835,"Greer Laboratories, Inc.",Licensed,NaT,2058-09-15
101836,"Greer Laboratories, Inc.",Licensed,NaT,2030-06-14
101837,"Greer Laboratories, Inc.",Licensed,NaT,2030-06-14
101838,"Greer Laboratories, Inc.",Licensed,NaT,2030-06-14
101839,"Greer Laboratories, Inc.",Licensed,NaT,2030-06-14
101840,"Greer Laboratories, Inc.",Licensed,NaT,2030-06-14
101841,"Greer Laboratories, Inc.",Licensed,NaT,2030-06-14
101842,"Greer Laboratories, Inc.",Licensed,NaT,2030-06-14
101843,"Greer Laboratories, Inc.",Licensed,NaT,2030-06-14
101844,"Greer Laboratories, Inc.",Licensed,NaT,2030-06-14
101845,"Greer Laboratories, Inc.",Licensed,NaT,2058-09-15
101993,Central Laboratory of the Netherlands Red Cross Blood Transfusion Service,Licensed,NaT,1979-09-07
101995,"Smith & Nephew, Inc.",Licensed,NaT,2065-06-04
102212,"Allermed Laboratories, Inc.",Licensed,NaT,2074-03-12
102213,"Allermed Laboratories, Inc.",Licensed,NaT,2074-03-12
102214,"Allermed Laboratories, Inc.",Licensed,NaT,2030-06-14
102215,"Allermed Laboratories, Inc.",Licensed,NaT,2030-06-14
102216,"Allermed Laboratories, Inc.",Licensed,NaT,2074-03-12
102217,"Allermed Laboratories, Inc.",Licensed,NaT,2074-03-12
102218,"Allermed Laboratories, Inc.",Licensed,NaT,2074-03-12
102219,"Allermed Laboratories, Inc.",Licensed,NaT,2074-03-12
102220,"Allermed Laboratories, Inc.",Licensed,NaT,2074-03-12
102221,"Allermed Laboratories, Inc.",Licensed,NaT,2030-06-14
102366,CSL Behring AG,Licensed,NaT,1976-07-23
102367,CSL Behring AG,Voluntarily Revoked,NaT,2000-07-27
102475,Grifols Biologicals LLC,Licensed,NaT,1978-08-15
102476,Grifols Biologicals LLC,Licensed,NaT,1981-07-20
102478,Grifols Biologicals LLC,Licensed,NaT,1978-08-15
102821,Merck Teknika LLC,Licensed,NaT,1989-06-21
102865,"GenTrac, Inc.",Licensed,NaT,1986-02-03
103000,AbbVie Inc.,Licensed,NaT,1991-12-09
103050,Merck Teknika LLC,Licensed,NaT,1989-06-21
103051,"ALK-Abello, Inc.",Licensed,NaT,2058-09-29
103052,"ALK-Abello, Inc.",Licensed,NaT,2050-09-29
103053,"ALK-Abello, Inc.",Licensed,NaT,2050-09-29
103054,"ALK-Abello, Inc.",Licensed,NaT,2050-09-29
103055,"ALK-Abello, Inc.",Licensed,NaT,2050-09-29
103056,"ALK-Abello, Inc.",Licensed,NaT,2050-09-29
103057,"ALK-Abello, Inc.",Licensed,NaT,2050-09-29
103058,"ALK-Abello, Inc.",Licensed,NaT,2050-09-29
103059,"ALK-Abello, Inc.",Licensed,NaT,2050-09-29
103060,"ALK-Abello, Inc.",Licensed,NaT,2050-09-29
103061,"ALK-Abello, Inc.",Voluntarily Revoked,NaT,2050-09-29
103112,Baxalta US Inc.,Voluntarily Revoked,NaT,2070-08-21
103113,"Allermed Laboratories, Inc.",Licensed,NaT,2074-03-13
103123,Bavarian Nordic A/S,Licensed,NaT,1989-12-15
103132,Merck Sharp & Dohme LLC,Voluntarily Revoked,NaT,1986-06-04
103133,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,1986-02-18
103141,Wellcome Foundation Limited Wellcome Research Laboratories,Voluntarily Revoked,NaT,1986-04-22
103145,Hoffmann-La Roche Inc.,Voluntarily Revoked,NaT,1986-06-04
103158,AIM ImmunoTech Inc.,Licensed,NaT,1989-10-10
103171,Sanofi Pasteur Limited,Licensed,NaT,2003-11-03
103172,"Genentech, Inc.",Licensed,NaT,1987-11-13
103174,Grifols Therapeutics LLC,Licensed,NaT,1987-12-02
103189,Kamada Ltd.,Licensed,NaT,1990-04-17
103196,Grifols Therapeutics LLC,Licensed,NaT,1991-12-30
103234,Amgen Inc.,Licensed,NaT,1989-06-01
103237,Merck Sharp & Dohme LLC,Licensed,NaT,1989-12-20
103239,GlaxoSmithKline Biologicals,Licensed,NaT,1989-08-28
103249,Grifols Biologicals LLC,Licensed,NaT,1990-12-31
103257,"Nielsen Bioscience, Inc",Licensed,NaT,1995-11-27
103293,Iovance Biotherapeutics Manufacturing LLC,Licensed,NaT,1992-05-05
103317,"Nielsen Bioscience, Inc",Licensed,NaT,1992-02-14
103324,"Allergy Laboratories, Inc.",Voluntarily Revoked,NaT,2030-07-11
103332,Bayer HealthCare LLC,Licensed,NaT,2002-08-20
103334,Bavarian Nordic A/S,Licensed,NaT,1997-10-20
103352,"Instituto Grifols, S.A.",Licensed,NaT,1995-02-17
103353,Amgen Inc.,Licensed,NaT,1991-02-20
103362,"Partner Therapeutics, Inc.",Licensed,NaT,1991-03-05
103375,"Takeda Pharmaceuticals U.S.A., Inc.",Licensed,NaT,1992-12-10
103397,"Greer Laboratories, Inc.",Licensed,NaT,2058-09-15
103411,Servier Pharmaceuticals LLC,Licensed,NaT,1994-02-01
103463,"Centocor Ortho Biotech Products, L.P.",Voluntarily Revoked,NaT,1992-09-14
103471,Bayer HealthCare Pharmaceuticals Inc.,Licensed,NaT,1993-07-23
103473,"Allermed Laboratories, Inc.",Licensed,NaT,2074-03-12
103475,GlaxoSmithKline Biologicals,Licensed,NaT,1995-02-22
103532,"Genentech, Inc.",Licensed,NaT,1993-12-30
103552,Merck Sharp & Dohme LLC,Licensed,NaT,1995-03-17
103569,"Greer Laboratories, Inc.",Licensed,NaT,1994-10-05
103575,"Janssen Biotech, Inc.",Voluntarily Revoked,NaT,1994-12-22
103606,Merck Sharp & Dohme LLC,Licensed,NaT,1996-03-29
103608,"Aytu BioScience, Inc.",Licensed,NaT,1996-10-28
103623,Merck Sharp & Dohme LLC,Voluntarily Revoked,NaT,1996-10-02
103628,Biogen Inc.,Licensed,NaT,1996-05-17
103647,GlaxoSmithKline Biologicals,Licensed,NaT,1997-01-29
103649,Kamada Ltd.,Licensed,NaT,1996-04-02
103661,Vericel Corporation,Licensed,NaT,1997-08-22
103663,Kadmon Pharmaceuticals LLC,Voluntarily Revoked,NaT,1997-10-06
103665,Novo Nordisk Inc.,Licensed,NaT,1999-03-25
103666,Sanofi Pasteur Limited,Licensed,NaT,2002-05-14
103676,Pharmacia & Upjohn Company LLC,Licensed,NaT,1996-12-04
103677,Wyeth Pharmaceuticals LLC,Licensed,NaT,1997-02-11
103691,"Smith & Nephew, Inc.",Licensed,NaT,1997-12-16
103694,Wyeth Pharmaceuticals Inc.,Voluntarily Revoked,NaT,1997-11-25
103705,"Genentech, Inc.",Licensed,NaT,1997-11-26
103737,IDEC Pharmaceuticals Corp.,Voluntarily Revoked,NaT,2002-02-19
103738,SmartPractice Denmark ApS,Licensed,NaT,1997-08-15
103749,Hoffmann-La Roche Inc.,Voluntarily Revoked,NaT,1997-12-10
103752,"ALK-Abello, Inc.",Licensed,NaT,2050-09-29
103754,"ALK-Abello, Inc.",Licensed,NaT,2050-09-29
103764,Novartis Pharmaceuticals Corporation,Licensed,NaT,1998-05-12
103767,"Eisai, Incorporated",Licensed,NaT,1999-02-05
103769,Boehringer Ingelheim Pharma GmbH & Co. KG,Voluntarily Revoked,NaT,1998-10-13
103770,Swedish Orphan Biovitrum AB (publ),Licensed,NaT,1998-06-19
103772,"Janssen Biotech, Inc.",Licensed,NaT,1998-08-24
103777,Kedrion Biopharma Inc.,Licensed,NaT,1998-04-23
103779,Wyeth Pharmaceuticals LLC,Licensed,NaT,2001-06-27
