ApplNo,ProductNo,TECode
219073,002,AB1
216304,001,AB2
219073,003,AB1
216304,002,AB2
216304,003,AB2
075116,001,AB3
075116,002,AB3
075116,003,AB3
075116,004,AB3
206534,001,AB3
206641,001,AB4
206534,002,AB3
206641,002,AB4
206534,003,AB3
206641,003,AB4
206534,004,AB3
206641,004,AB4
206534,005,AB3
206641,005,AB4
206641,006,AB4
020699,001,AB
020699,002,AB
020699,004,AB
091482,001,AB
091482,002,AB
219055,001,AB
219055,002,AB
217024,001,AB
217024,002,AB
212182,002,AB
212182,001,AB
091476,001,AB
091476,002,AB
021802,001,AB
021802,002,AB
021802,004,AB
021802,003,AB
021802,008,AB
021802,005,AB
021802,007,AB
021802,006,AB
204895,001,AB
204895,002,AB
204895,003,AB
078189,001,AB
078189,002,AB
078189,003,AB
090178,001,AB
090178,002,AB
090178,003,AB
079028,001,AB
079028,002,AB
079028,003,AB
018553,004,AB
018553,002,AB
018553,003,AB
018553,001,AB
091549,001,AB
079175,001,AB
200529,001,AB
203501,001,AB
201807,001,AB
204853,001,AB
202711,001,AB
021438,001,BX
021438,002,BX
203106,001,AB
203106,002,AB
210771,001,AB
210771,002,AB
210771,003,AB
210771,004,AB
205825,001,AB
205825,002,AB
205825,003,AB
205825,004,AB
214651,001,AB
214651,002,AB
214651,003,AB
214651,004,AB
206028,001,AB
206028,002,AB
206028,003,AB
206028,004,AB
206032,001,AB
206032,002,AB
206032,003,AB
206032,004,AB
213985,001,AB
213985,002,AB
213985,004,AB
213985,003,AB
211100,001,AB
211100,002,AB
211100,003,AB
211100,004,AB
203293,001,AB
203293,002,AB
203293,003,AB
203293,004,AB
208328,003,AB
208328,001,AB
208328,004,AB
208328,002,AB
208237,001,AB
208672,001,AB
208672,002,AB
216901,001,AB
216901,002,AB
216967,001,AB
214242,001,AB
217533,001,AB
214477,001,AB
207271,001,AB
218410,001,AB
214585,001,AB
208954,001,AB
021259,003,AB2
021259,001,AB2
021259,002,AB2
021259,004,AB2
021259,005,AB2
021259,006,AB2
208861,001,AB3
208861,002,AB3
208861,003,AB3
208861,004,AB3
208861,005,AB3
208861,006,AB3
208861,007,AB3
200886,001,AB1
078458,001,AB1
078458,002,AB1
078458,003,AB1
078458,004,AB1
211796,001,AB1
211796,002,AB1
211796,003,AB1
211796,004,AB1
211796,005,AB1
205105,001,AB2
205105,002,AB2
205105,003,AB2
205105,004,AB2
205105,005,AB2
205105,006,AB2
203583,001,AB2
203583,002,AB2
203583,003,AB2
203583,004,AB2
203583,005,AB2
203583,006,AB2
077707,001,AB2
077707,002,AB2
077707,003,AB2
022063,001,AB2
022063,002,AB2
022063,003,AB2
022063,004,AB2
206439,003,AB
206439,001,AB
206439,004,AB
206439,002,AB
020049,002,AB
204982,001,AB
204982,002,AB
204982,003,AB
204982,004,AB
208175,002,AB
208175,003,AB
208175,004,AB
208175,001,AB
077419,001,AB
077419,002,AB
208864,001,AB
208864,002,AB
202128,001,AB
214686,001,AB
214686,002,AB
203002,001,AB
203002,002,AB
204828,001,AB
204828,002,AB
200185,001,AB
200185,002,AB
209026,001,AB
209026,002,AB
205549,001,AB
205549,002,AB
208445,001,AB
208445,002,AB
213096,001,AB
213096,002,AB
213096,003,AB
205268,001,AB
205268,002,AB
205268,003,AB
205956,001,AB
205956,002,AB
205956,003,AB
210339,001,AB
210339,002,AB
210339,003,AB
078540,001,AB
078540,002,AB
078540,003,AB
212744,001,AB
212744,002,AB
212744,003,AB
202688,001,AB
202688,002,AB
202688,003,AB
214184,001,AB
214184,002,AB
214184,003,AB
078494,001,AB
078494,002,AB
078494,003,AB
078494,004,AB
078703,001,AB
078703,002,AB
078703,003,AB
078703,004,AB
212026,001,AB
212026,002,AB
212026,003,AB
212026,004,AB
078065,001,AB
078065,002,AB
078065,003,AB
078065,004,AB
