ApplNo,ProductNo,TradeName,ActiveIngredient,Strength,DosageForm,Route,ReferenceListedDrugFlag,ReferenceStandardFlag,MarketingStatus,TECode,RxCUI_Ingredient,RxCUI_Product,LastUpdateDate
012339,007,BRONKOMETER,ISOETHARINE MESYLATE,0.34MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
020291,001,COMBIVENT,ALBUTEROL SULFATE; IPRATROPIUM BROMIDE,EQ 0.09MG BASE/INH;0.018MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
013413,001,DEXACORT,DEXAMETHASONE SODIUM PHOSPHATE,EQ 0.1MG PHOSPHATE/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
022518,003,DULERA,FORMOTEROL FUMARATE; MOMETASONE FUROATE,0.005MG/INH;0.05MG/INH,"AEROSOL, METERED",INHALATION,Y,Y,RX,,,,
022518,001,DULERA,FORMOTEROL FUMARATE; MOMETASONE FUROATE,0.005MG/INH;0.1MG/INH,"AEROSOL, METERED",INHALATION,Y,Y,RX,,,,
022518,002,DULERA,FORMOTEROL FUMARATE; MOMETASONE FUROATE,0.005MG/INH;0.2MG/INH,"AEROSOL, METERED",INHALATION,Y,Y,RX,,,,
013296,001,DUO-MEDIHALER,ISOPROTERENOL HYDROCHLORIDE; PHENYLEPHRINE BITARTRATE,0.16MG/INH;0.24MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
087907,001,EPINEPHRINE,EPINEPHRINE,0.2MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
020548,001,FLOVENT,FLUTICASONE PROPIONATE,0.044MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
020548,002,FLOVENT,FLUTICASONE PROPIONATE,0.11MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
020548,003,FLOVENT,FLUTICASONE PROPIONATE,0.22MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
021433,003,FLOVENT HFA,FLUTICASONE PROPIONATE,0.044MG/INH,"AEROSOL, METERED",INHALATION,Y,Y,RX,,,,
021433,002,FLOVENT HFA,FLUTICASONE PROPIONATE,0.11MG/INH,"AEROSOL, METERED",INHALATION,Y,Y,RX,,,,
021433,001,FLOVENT HFA,FLUTICASONE PROPIONATE,0.22MG/INH,"AEROSOL, METERED",INHALATION,Y,Y,RX,,,,
