BLANumber,ReferenceProductName,ExclusivityType,ExclusivityEndDate,Notes
103158,,RefProductExclusivityExpDate,NaT,
103171,,ExclusivityExpirationDate,NaT,
103171,,FirstInterchangeableExclusivityExpDate,NaT,
103171,,RefProductExclusivityExpDate,NaT,
103172,,ExclusivityExpirationDate,NaT,
103172,,FirstInterchangeableExclusivityExpDate,NaT,
103172,,RefProductExclusivityExpDate,NaT,
103174,,ExclusivityExpirationDate,NaT,
103174,,FirstInterchangeableExclusivityExpDate,NaT,
103174,,RefProductExclusivityExpDate,NaT,
103189,,ExclusivityExpirationDate,NaT,
103189,,FirstInterchangeableExclusivityExpDate,NaT,
103189,,RefProductExclusivityExpDate,NaT,
103196,,ExclusivityExpirationDate,NaT,
103196,,FirstInterchangeableExclusivityExpDate,NaT,
103196,,RefProductExclusivityExpDate,NaT,
103234,,ExclusivityExpirationDate,NaT,
103234,,FirstInterchangeableExclusivityExpDate,NaT,
103234,,RefProductExclusivityExpDate,NaT,
103237,,ExclusivityExpirationDate,NaT,
103237,,FirstInterchangeableExclusivityExpDate,NaT,
103237,,RefProductExclusivityExpDate,NaT,
103239,,ExclusivityExpirationDate,NaT,
103239,,FirstInterchangeableExclusivityExpDate,NaT,
103239,,RefProductExclusivityExpDate,NaT,
103249,,ExclusivityExpirationDate,NaT,
103249,,FirstInterchangeableExclusivityExpDate,NaT,
103249,,RefProductExclusivityExpDate,NaT,
103257,,ExclusivityExpirationDate,NaT,
103257,,FirstInterchangeableExclusivityExpDate,NaT,
103257,,RefProductExclusivityExpDate,NaT,
103293,,ExclusivityExpirationDate,NaT,
103293,,FirstInterchangeableExclusivityExpDate,NaT,
103293,,RefProductExclusivityExpDate,NaT,
103317,,ExclusivityExpirationDate,NaT,
103317,,FirstInterchangeableExclusivityExpDate,NaT,
103317,,RefProductExclusivityExpDate,NaT,
103324,,ExclusivityExpirationDate,NaT,
103324,,FirstInterchangeableExclusivityExpDate,NaT,
103324,,RefProductExclusivityExpDate,NaT,
103332,,ExclusivityExpirationDate,NaT,
103332,,FirstInterchangeableExclusivityExpDate,NaT,
103332,,RefProductExclusivityExpDate,NaT,
103334,,ExclusivityExpirationDate,NaT,
103334,,FirstInterchangeableExclusivityExpDate,NaT,
103334,,RefProductExclusivityExpDate,NaT,
103352,,ExclusivityExpirationDate,NaT,
