ProductRxCUI,IngredientRxCUI,RxTTY,PreferredName,BrandName,GenericName,DosageForm,Route,Strength
2663908,327361,SCD,0.4 ML adalimumab-atto 100 MG/ML Auto-Injector,,0.4 ML adalimumab-atto 100 MG/ML Auto-Injector,Auto-Injector,,0.4 ML
2663912,327361,SCD,0.8 ML adalimumab-atto 100 MG/ML Prefilled Syringe,,0.8 ML adalimumab-atto 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.8 ML
2663914,327361,SCD,0.8 ML adalimumab-atto 100 MG/ML Auto-Injector,,0.8 ML adalimumab-atto 100 MG/ML Auto-Injector,Auto-Injector,,0.8 ML
2665419,327361,SCD,0.8 ML adalimumab-adaz 50 MG/ML Auto-Injector,,0.8 ML adalimumab-adaz 50 MG/ML Auto-Injector,Auto-Injector,,0.8 ML
2665424,327361,SCD,0.8 ML adalimumab-adaz 50 MG/ML Prefilled Syringe,,0.8 ML adalimumab-adaz 50 MG/ML Prefilled Syringe,Prefilled Syringe,,0.8 ML
2668064,327361,SCD,0.8 ML adalimumab-afzb 50 MG/ML Auto-Injector,,0.8 ML adalimumab-afzb 50 MG/ML Auto-Injector,Auto-Injector,,0.8 ML
2668074,327361,SCD,0.8 ML adalimumab-afzb 50 MG/ML Prefilled Syringe,,0.8 ML adalimumab-afzb 50 MG/ML Prefilled Syringe,Prefilled Syringe,,0.8 ML
2668095,327361,SCD,0.4 ML adalimumab-afzb 50 MG/ML Prefilled Syringe,,0.4 ML adalimumab-afzb 50 MG/ML Prefilled Syringe,Prefilled Syringe,,0.4 ML
2668483,327361,SCD,0.2 ML adalimumab-aaty 100 MG/ML Prefilled Syringe,,0.2 ML adalimumab-aaty 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.2 ML
2668485,327361,SCD,0.8 ML adalimumab-aaty 100 MG/ML Prefilled Syringe,,0.8 ML adalimumab-aaty 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.8 ML
2668487,327361,SCD,0.8 ML adalimumab-aaty 100 MG/ML Auto-Injector,,0.8 ML adalimumab-aaty 100 MG/ML Auto-Injector,Auto-Injector,,0.8 ML
2677780,327361,SCD,0.4 ML adalimumab-ryvk 100 MG/ML Auto-Injector,,0.4 ML adalimumab-ryvk 100 MG/ML Auto-Injector,Auto-Injector,,0.4 ML
2680743,327361,SCD,0.4 ML adalimumab-adbm 100 MG/ML Prefilled Syringe,,0.4 ML adalimumab-adbm 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.4 ML
2680748,327361,SCD,0.4 ML adalimumab-adbm 100 MG/ML Auto-Injector,,0.4 ML adalimumab-adbm 100 MG/ML Auto-Injector,Auto-Injector,,0.4 ML
2688819,327361,SCD,0.2 ML adalimumab-ryvk 100 MG/ML Prefilled Syringe,,0.2 ML adalimumab-ryvk 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.2 ML
2688826,327361,SCD,0.4 ML adalimumab-ryvk 100 MG/ML Prefilled Syringe,,0.4 ML adalimumab-ryvk 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.4 ML
2688828,327361,SCD,0.8 ML adalimumab-ryvk 100 MG/ML Prefilled Syringe,,0.8 ML adalimumab-ryvk 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.8 ML
2699315,327361,SCD,0.8 ML adalimumab-aacf 50 MG/ML Injection,,0.8 ML adalimumab-aacf 50 MG/ML Injection,Injection,,0.8 ML
2706644,327361,SCD,0.8 ML adalimumab-ryvk 100 MG/ML Auto-Injector,,0.8 ML adalimumab-ryvk 100 MG/ML Auto-Injector,Auto-Injector,,0.8 ML
727703,327361,SCD,0.8 ML adalimumab 50 MG/ML Prefilled Syringe,,0.8 ML adalimumab 50 MG/ML Prefilled Syringe,Prefilled Syringe,,0.8 ML
262095,153165,SBD,atorvastatin 80 MG Oral Tablet [Lipitor],Lipitor,atorvastatin,Oral Tablet,,80 MG
617314,153165,SBD,atorvastatin 10 MG Oral Tablet [Lipitor],Lipitor,atorvastatin,Oral Tablet,,10 MG
617318,153165,SBD,atorvastatin 20 MG Oral Tablet [Lipitor],Lipitor,atorvastatin,Oral Tablet,,20 MG
617320,153165,SBD,atorvastatin 40 MG Oral Tablet [Lipitor],Lipitor,atorvastatin,Oral Tablet,,40 MG
259255,153165,SCD,atorvastatin 80 MG Oral Tablet,,atorvastatin 80 MG Oral Tablet,Oral Tablet,,80 MG
617310,153165,SCD,atorvastatin 20 MG Oral Tablet,,atorvastatin 20 MG Oral Tablet,Oral Tablet,,20 MG
617311,153165,SCD,atorvastatin 40 MG Oral Tablet,,atorvastatin 40 MG Oral Tablet,Oral Tablet,,40 MG
617312,153165,SCD,atorvastatin 10 MG Oral Tablet,,atorvastatin 10 MG Oral Tablet,Oral Tablet,,10 MG
1037240,161,SBD,acetaminophen 300 MG / phenyltoloxamine citrate 20 MG / salicylamide 200 MG Oral Capsule [By Ache],By Ache,acetaminophen; phenyltoloxamine; phenyltoloxamine citrate; salicylamide,Oral Capsule,,300 MG
1037274,161,SBD,acetaminophen 300 MG / phenyltoloxamine citrate 20 MG / salicylamide 200 MG Oral Tablet [Anabar],Anabar,acetaminophen; phenyltoloxamine; phenyltoloxamine citrate; salicylamide,Oral Tablet,,300 MG
1038779,161,SBD,acetaminophen 32 MG/ML Oral Solution [Bactimicina],Bactimicina,acetaminophen,Oral Solution,,32 MG
1041530,161,SBD,100 ML acetaminophen 10 MG/ML Injection [Ofirmev],Ofirmev,acetaminophen,Injection,,100 ML
1049216,161,SBD,acetaminophen 325 MG / oxycodone hydrochloride 10 MG Oral Tablet [Endocet],Endocet,acetaminophen; oxycodone; oxycodone hydrochloride,Oral Tablet,,325 MG
1049223,161,SBD,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet [Endocet],Endocet,acetaminophen; oxycodone; oxycodone hydrochloride,Oral Tablet,,325 MG
1049227,161,SBD,acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Endocet],Endocet,acetaminophen; oxycodone; oxycodone hydrochloride,Oral Tablet,,325 MG
1049625,161,SBD,acetaminophen 325 MG / oxycodone hydrochloride 10 MG Oral Tablet [Percocet],Percocet,acetaminophen; oxycodone; oxycodone hydrochloride,Oral Tablet,,325 MG
1049637,161,SBD,acetaminophen 325 MG / oxycodone hydrochloride 2.5 MG Oral Tablet [Percocet],Percocet,acetaminophen; oxycodone; oxycodone hydrochloride,Oral Tablet,,325 MG
1049640,161,SBD,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet [Percocet],Percocet,acetaminophen; oxycodone; oxycodone hydrochloride,Oral Tablet,,325 MG
1049642,161,SBD,acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Percocet],Percocet,acetaminophen; oxycodone; oxycodone hydrochloride,Oral Tablet,,325 MG
1052416,161,SBD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Pamprin Max Formula],Pamprin Max Formula,acetaminophen; aspirin; caffeine,Oral Tablet,,250 MG
1052445,161,SBD,acetaminophen 250 MG / magnesium salicylate 250 MG / pamabrom 25 MG Oral Tablet [Pamprin Cramp Formula],Pamprin Cramp Formula,acetaminophen; magnesium salicylate; pamabrom,Oral Tablet,,250 MG
1052466,161,SBD,acetaminophen 325 MG / diphenhydramine hydrochloride 12.5 MG Oral Tablet [Percogesic Reformulated Jan 2011],Percogesic Reformulated Jan 2011,acetaminophen; diphenhydramine; diphenhydramine hydrochloride,Oral Tablet,,325 MG
1052469,161,SBD,acetaminophen 500 MG / diphenhydramine hydrochloride 12.5 MG Oral Tablet [Percogesic Reformulated Jan 2011],Percogesic Reformulated Jan 2011,acetaminophen; diphenhydramine; diphenhydramine hydrochloride,Oral Tablet,,500 MG
1052641,161,SBD,acetaminophen 500 MG / pamabrom 25 MG / pyrilamine maleate 15 MG Oral Tablet [Premsyn PMS],Premsyn PMS,acetaminophen; pamabrom; pyrilamine; pyrilamine maleate,Oral Tablet,,500 MG
1053852,161,SBD,acetaminophen 500 MG / pamabrom 25 MG / pyrilamine maleate 15 MG Oral Tablet [Pamprin Multi-Symptom],Pamprin Multi-Symptom,acetaminophen; pamabrom; pyrilamine; pyrilamine maleate,Oral Tablet,,500 MG
1087609,161,SBD,acetaminophen 500 MG / diphenhydramine hydrochloride 50 MG Oral Tablet [Legatrin PM],Legatrin PM,acetaminophen; diphenhydramine; diphenhydramine hydrochloride,Oral Tablet,,500 MG
1088761,161,SBD,acetaminophen 33.3 MG/ML / phenyltoloxamine citrate 2 MG/ML Oral Solution [Dologesic],Dologesic,acetaminophen; phenyltoloxamine; phenyltoloxamine citrate,Oral Solution,,33.3 MG
1092375,161,SBD,acetaminophen 33.3 MG/ML / diphenhydramine hydrochloride 1.67 MG/ML Oral Solution [Tylenol PM],Tylenol PM,acetaminophen; diphenhydramine; diphenhydramine hydrochloride,Oral Solution,,33.3 MG
1092378,161,SBD,acetaminophen 500 MG / diphenhydramine hydrochloride 25 MG Oral Tablet [Tylenol PM],Tylenol PM,acetaminophen; diphenhydramine; diphenhydramine hydrochloride,Oral Tablet,,500 MG
1093077,161,SBD,acetaminophen 325 MG / diphenhydramine hydrochloride 50 MG Oral Tablet [Unisom with Pain Relief],Unisom with Pain Relief,acetaminophen; diphenhydramine; diphenhydramine hydrochloride,Oral Tablet,,325 MG
1094718,161,SBD,acetaminophen 500 MG / diphenhydramine hydrochloride 25 MG Oral Tablet [Panadol PM],Panadol PM,acetaminophen; diphenhydramine; diphenhydramine hydrochloride,Oral Tablet,,500 MG
1095636,161,SBD,acetaminophen 32 MG/ML Oral Solution [Panadol],Panadol,acetaminophen,Oral Solution,,32 MG
1100005,161,SBD,acetaminophen 500 MG Oral Tablet [CounterAct Pain],CounterAct Pain,acetaminophen,Oral Tablet,,500 MG
1100907,161,SBD,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Capsule [Capacet],Capacet,acetaminophen; butalbital; caffeine,Oral Capsule,,325 MG
1101345,161,SBD,acetaminophen 100 MG/ML Oral Solution [Nortemp],Nortemp,acetaminophen,Oral Solution,,100 MG
1101754,161,SBD,acetaminophen 194 MG / aspirin 227 MG / caffeine 33 MG Oral Tablet [Vanquish],Vanquish,acetaminophen; aspirin; caffeine,Oral Tablet,,194 MG
1116532,161,SBD,acetaminophen 500 MG / diphenhydramine hydrochloride 25 MG Oral Tablet [Acetadryl],Acetadryl,acetaminophen; diphenhydramine; diphenhydramine hydrochloride,Oral Tablet,,500 MG
1117539,161,SBD,acetaminophen 500 MG / diphenhydramine citrate 38 MG Oral Tablet [Excedrin PM],Excedrin PM,acetaminophen; diphenhydramine; diphenhydramine citrate,Oral Tablet,,500 MG
1190201,161,SBD,acetaminophen 320.5 MG / caffeine 30 MG / dihydrocodeine bitartrate 16 MG Oral Capsule [Trezix],Trezix,acetaminophen; caffeine; dihydrocodeine; dihydrocodeine bitartrate,Oral Capsule,,320.5 MG
1235462,161,SBD,acetaminophen 325 MG Oral Tablet [Ringl],Ringl,acetaminophen,Oral Tablet,,325 MG
