ApplNo,ProductNo,PatentNo,PatentExpiration,DrugSubstanceFlag,DrugProductFlag,PatentUseCode,DelistRequested,PediatricExtension,FileDate
202057,001,8546372,,,,U-1287,,,
021272,001,8658694,,,,U-1437,,,
021272,004,8658694,,,,U-1437,,,
201635,003,9622983,,,Y,U-1675,,,
201635,004,9622983,,,Y,U-1992,,,
021445,001,7612058,,,,U-1173,,,
205410,001,8338489,,,,U-1496,,,
204031,001,8668929,,,,U-1499,,,
204031,001,8377453,,,Y,U-1499,,,
050808,007,8722650,,,,U-1078,,,
022266,002,9597288,,,Y,U-767,,,
050808,008,8722650,,,,U-1078,,,
202833,002,8716271,,,,U-1440,,,
204485,002,9375478,,,,U-1857,,,
022266,003,9597288,,,Y,U-767,,,
022266,004,9597288,,,Y,U-767,,,
202833,001,8716271,,,,U-1440,,,
050808,006,8722650,,,,U-1078,,,
202788,001,8486973,,,,U-55,,,
202788,003,8486973,,,,U-55,,,
205060,001,8383678,,,Y,U-1511,,,
204623,001,8741956,,,,U-1435,,,
202788,005,8486973,,,,U-55,,,
204141,001,8715624,,,Y,U-1408,,,
202788,006,8486973,,,,U-55,,,
204141,001,8277780,,,Y,U-1408,,,
203567,001,7214506,,,,U-281,,,
022525,003,8039009,,,,U-539,,,
022525,004,8039009,,,,U-539,,,
205637,002,8147866,,,Y,U-1521,,,
021272,003,7999007,,,Y,U-1437,,,
209115,001,8859562,,,,U-2012,,,
209115,001,8143241,,,,U-2012,,,
204623,001,8546450,,,,U-1435,,,
204623,001,8618164,,,,U-1477,,,
022321,004,7682633,,,,U-1510,,,
205123,001,8754106,,Y,,U-1467,,,
022321,001,8158156,,,,U-1510,,,
022321,002,7682633,,,,U-1510,,,
022321,003,8158156,,,,U-1510,,,
022321,005,7682633,,,,U-1510,,,
022321,006,8158156,,,,U-1510,,,
208780,002,7910610,,,,U-2048,,,
202293,001,8685934,,,,U-1522,,,
205123,001,8741926,,Y,,U-1467,,,
205435,001,8426389,,Y,Y,U-282,,,
205436,001,8426389,,Y,Y,U-282,,,
021361,001,8741904,,Y,,U-1526,,,
021729,003,8759350,,,,U-1529,,,
204399,002,8785426,,,Y,U-1531,,,
208780,002,8778947,,,,U-2044,,,
021436,001,8759350,,,,U-1529,,,
208780,002,8420674,,,,U-2079,,,
208780,002,7635707,,,,U-2083,,,
208780,002,7635707,,,,U-2072,,,
208780,002,7635707,,,,U-2073,,,
208780,002,8609701,,,,U-2069,,,
208780,002,8609701,,,,U-2064,,,
208780,002,8609701,,,,U-2067,,,
208780,002,8609701,,,,U-2065,,,
208780,002,8084475,,,,U-2268,,,
208780,002,8318780,,,,U-2046,,,
208780,002,8754109,,,,U-2053,,,
208780,002,8592462,,,,U-2060,,,
203108,001,8034809,,,,U-1547,,,
203108,001,7220742,,Y,Y,U-1547,,,
205776,004,8664231,,,,U-1442,,,
205776,005,8664231,,,,U-1442,,,
205776,008,8664231,,,,U-1442,,,
205776,009,8664231,,,,U-1442,,,
205776,010,8664231,,,,U-1442,,,
020845,002,8795741,,,,U-1286,,,
022272,003,8808741,,,,U-1556,,,
022272,004,8808741,,,,U-1556,,,
022272,007,8808741,,,,U-1556,,,
022272,001,8808741,,,,U-1556,,,
205874,001,8093423,,,,U-1577,,,
022192,002,8586610,,,,U-1625,,,
022192,003,8586610,,,,U-1625,,,
203094,001,8148374,,Y,Y,U-1279,,,
204242,003,8658198,,,Y,U-1494,,,
204677,001,7807135,,Y,Y,U-1497,,,
206829,001,7129232,,Y,Y,U-36,,,
022192,001,8586610,,,,U-1625,,,
022192,005,8586610,,,,U-1625,,,
022192,006,8586610,,,,U-1625,,,
206829,001,8685957,,Y,,U-36,,,
021964,002,8822490,,,Y,U-1185,,,
206334,001,8420592,,,,U-1570,,,
200063,001,8722085,,,,U-1585,,,
021964,003,8822490,,,Y,U-1185,,,
202123,001,8841310,,,Y,U-257,,,
021923,001,8877933,,Y,Y,U-1624,,,
022249,002,8791270,,,Y,U-1542,,,
202788,007,8835460,,,Y,U-55,,,
201655,002,8808737,,,,U-1598,,,
022535,001,7988994,,,Y,U-1602,,,
201655,001,8808737,,,,U-1598,,,
201655,003,8808737,,,,U-1598,,,
201655,005,8808737,,,,U-1598,,,
201655,006,8808737,,,,U-1598,,,
022535,001,8013002,,,,U-1603,,,
022535,001,8778947,,,,U-1613,,,
022535,001,7767225,,,Y,U-1602,,,
022535,001,7767700,,,,U-1601,,,
022249,001,8883836,,,Y,U-1402,,,
021338,001,8428709,,,Y,U-736,,,
022291,004,8052994,,,Y,U-1714,,,
022535,001,8592462,,,,U-1609,,,
022535,001,8318780,,,,U-1606,,,
022535,001,8420674,,,Y,U-1608,,,
022535,001,7910610,,,,U-1604,,,
022535,001,8754109,,,,U-1612,,,
206627,002,8808740,,,Y,U-1556,,,
022535,001,8753679,,,Y,U-1602,,,
206627,006,8808740,,,Y,U-1556,,,
022192,001,9074256,,,,U-1674,,,
022192,001,9072742,,,,U-1674,,,
022192,002,9072742,,,,U-1674,,,
022192,003,9074256,,,,U-1674,,,
022291,003,8071129,,,Y,U-1714,,,
206843,001,8900566,,,,U-1725,,,
022291,005,7547719,,Y,Y,U-1575,,,
022291,005,7547719,,Y,Y,U-930,,,
206843,002,8900566,,,,U-1725,,,
206843,002,8900566,,,,U-1724,,,
206843,002,8642025,,Y,Y,U-1724,,,
204399,002,9662340,,,Y,U-1531,,,
208383,001,8557852,,,,U-1167,,,
204623,001,9132110,,,,U-1488,,,
021436,001,9125939,,,,U-1749,,,
206940,001,9115091,,Y,Y,U-1738,,,
021436,002,9125939,,,,U-1749,,,
021436,004,9125939,,,,U-1749,,,
021436,005,9125939,,,,U-1749,,,
021436,006,9125939,,,,U-1749,,,
207958,001,9339489,,,Y,U-1850,,,
206406,001,8664239,,,,U-1752,,,
202192,001,8822481,,,,U-1573,,,
202192,002,8822481,,,,U-1573,,,
202192,003,8822481,,,,U-1573,,,
202192,005,8822481,,,,U-1573,,,
204824,005,8480631,,,Y,U-1442,,,
208383,002,9555023,,,,U-1502,,,
203756,001,8877776,,Y,Y,U-1617,,,
202788,004,8835460,,,Y,U-55,,,
205649,001,6515117,,Y,Y,U-493,,,
205649,002,6515117,,Y,Y,U-493,,,
205649,003,8501698,,,Y,U-493,,,
205649,003,6515117,,Y,Y,U-493,,,
020845,003,8846112,,,,U-1286,,,
021537,001,8846650,,,Y,U-1578,,,
206406,003,8685998,,,Y,U-1752,,,
208383,002,8404724,,,Y,U-2034,,,
022184,001,9155716,,,Y,U-1528,,,
204824,005,8945063,,,Y,U-1442,,,
022004,001,8371292,,,,U-1356,,,
021658,002,8371292,,,,U-1355,,,
020517,003,8921326,,,Y,U-1666,,,
205858,002,8980901,,,,U-1678,,,
206947,001,9006256,,,,U-1695,,,
206439,002,8039009,,,,U-1641,,,
206756,001,7220742,,Y,Y,U-1703,,,
200063,001,9107837,,,,U-1639,,,
022192,005,9072742,,,,U-1674,,,
022192,005,9074256,,,,U-1674,,,
021856,001,9107912,,,,U-1346,,,
022192,006,9074256,,,,U-1674,,,
022192,006,9072742,,,,U-1674,,,
022192,007,9074255,,,,U-1674,,,
022192,007,9072742,,,,U-1674,,,
200063,001,9125868,,,,U-1585,,,
022192,001,9157121,,,,U-1674,,,
022192,003,9157121,,,,U-1674,,,
022192,005,9157121,,,,U-1674,,,
022192,007,9157121,,,,U-1674,,,
204592,001,9186328,,,,U-55,,,
022291,001,8052994,,,Y,U-1714,,,
204516,001,8946251,,Y,Y,U-904,,,
021997,001,9265720,,,,U-674,,,
022430,001,8957113,,,Y,U-1182,,,
021997,002,9265720,,,,U-674,,,
205837,001,6911461,,Y,Y,U-1815,,,
022088,001,8791097,,,,U-1551,,,
022504,001,8435944,,,,U-1390,,,
022334,003,9006224,,,,U-1681,,,
021937,001,9018192,,,,U-750,,,
205123,001,9040562,,Y,Y,U-1467,,,
204275,001,8511304,,,Y,U-1691,,,
020866,001,8877708,,,Y,U-1706,,,
203858,004,8618135,,,,U-1316,,,
203858,005,7932268,,,,U-1316,,,
203858,006,8618135,,,,U-1316,,,
202270,003,7326708,,Y,Y,U-1227,,,
022348,002,9114068,,,,U-1735,,,
022192,004,9138432,,,,U-1737,,,
021549,003,8258132,,,Y,U-901,,,
021549,003,8258132,,,Y,U-1743,,,
206500,001,8470842,,,,U-1741,,,
022192,001,9138432,,,,U-1737,,,
206619,001,9139536,,,,U-1753,,,
207988,001,8084483,,,,U-1801,,,
207988,001,8283369,,,,U-1804,,,
207988,001,8357713,,,Y,U-1801,,,
209022,001,7975690,,,,U-2133,,,
021549,002,8258132,,,Y,U-901,,,
021549,002,8258132,,,Y,U-1743,,,
021549,001,8258132,,,Y,U-1743,,,
021549,001,8258132,,,Y,U-901,,,
022512,001,9034822,,,,U-1759,,,
205552,001,9125889,,,,U-1745,,,
205060,001,9132112,,,Y,U-1511,,,
209482,001,8309572,,,,U-2129,,,
208079,001,9775851,,,Y,U-1858,,,
207533,003,9034867,,,Y,U-543,,,
207988,001,8357713,,,Y,U-1803,,,
021995,002,7326708,,Y,Y,U-802,,,
021995,003,7326708,,Y,Y,U-802,,,
022287,002,9233103,,,,U-1805,,,
202270,001,7326708,,Y,Y,U-1227,,,
206619,001,8466159,,,,U-1637,,,
206619,001,8501238,,Y,Y,U-1636,,,
022321,004,8623418,,,,U-1640,,,
201280,001,8853156,,,Y,U-1642,,,
201281,001,8673927,,,,U-1503,,,
201281,003,8673927,,,,U-1503,,,
201280,001,8673927,,,,U-1503,,,
022192,002,8999638,,,,U-1674,,,
022192,003,8999638,,,,U-1674,,,
022192,006,8999638,,,,U-1674,,,
204242,003,8470361,,,Y,U-1425,,,
203312,003,9089607,,,Y,U-1645,,,
203312,003,9089607,,,Y,U-1720,,,
205858,002,9149477,,,,U-1757,,,
203312,001,9089607,,,Y,U-1645,,,
022581,001,9089528,,,,U-1469,,,
021964,001,9180125,,,Y,U-1185,,,
021964,002,9180125,,,Y,U-1185,,,
021964,003,9180125,,,Y,U-1185,,,
207932,002,8147866,,,Y,U-1769,,,
205739,001,8216560,,,,U-1766,,,
205739,001,7556799,,,,U-1766,,,
205739,002,7556799,,,,U-1766,,,
205739,002,8216560,,,,U-1766,,,
205739,003,8337824,,Y,,U-1766,,,
205739,003,7556799,,,,U-1766,,,
207932,003,8147866,,,Y,U-1769,,,
022563,001,8629128,,,Y,U-1280,,,
208183,001,8962028,,,Y,U-1775,,,
207561,001,8148374,,Y,Y,U-1279,,,
207561,001,8754065,,Y,Y,U-257,,,
206333,001,7754230,,,,U-1690,,,
206333,001,8846066,,,,U-1690,,,
203469,002,9029533,,,,U-1283,,,
206099,001,8875704,,,Y,U-1809,,,
203469,002,9029533,,,,U-1700,,,
203469,003,9029533,,,,U-1701,,,
203469,003,9029533,,,,U-836,,,
205422,004,8618109,,,,U-543,,,
205422,006,8349840,,,Y,U-1529,,,
204623,001,9168305,,,,U-1488,,,
022036,002,9107898,,,,U-620,,,
205223,001,9198858,,,,U-1664,,,
204223,001,9192608,,,,U-43,,,
204223,005,9192608,,,,U-55,,,
202992,001,9186346,,,,U-1786,,,
022425,001,9107900,,,,U-1728,,,
202811,002,7304036,,Y,Y,U-1278,,,
022425,001,9107900,,,,U-1726,,,
022225,002,RE44733,,Y,Y,U-1794,,,
202091,001,9233112,,,Y,U-1676,,,
204447,001,9227946,,,,U-1668,,,
207916,001,8747894,,,Y,U-1373,,,
203858,002,9265758,,,,U-1316,,,
203858,005,9265758,,,,U-1316,,,
202880,004,9265760,,,,U-1810,,,
206099,001,8590530,,,Y,U-1809,,,
206099,001,7975690,,,Y,U-1809,,,
203858,001,9265758,,,,U-1316,,,
203858,006,9265758,,,,U-1316,,,
202880,006,9265760,,,,U-1810,,,
022044,001,7326708,,Y,Y,U-802,,,
022044,002,7326708,,Y,Y,U-802,,,
202278,001,8983594,,,Y,U-1328,,,
206829,001,8968753,,,,U-1673,,,
206829,001,8968753,,,,U-1672,,,
203312,001,8377474,,,Y,U-219,,,
203312,001,8377474,,,Y,U-1645,,,
203312,002,8377474,,,Y,U-219,,,
203312,003,8377474,,,Y,U-219,,,
203312,004,8377474,,,Y,U-1645,,,
021926,001,7332183,,,Y,U-867,,,
206627,002,9095614,,,,U-1556,,,
205060,001,9012501,,,Y,U-1511,,,
204153,001,9012484,,Y,Y,U-540,,,
022192,001,9074254,,,,U-1674,,,
022192,002,9074254,,,,U-1674,,,
022192,006,9074254,,,,U-1674,,,
206627,003,9095614,,,,U-1556,,,
206255,001,9233118,,,,U-1631,,,
205003,002,7846961,,Y,Y,U-3,,,
207947,001,9173881,,,,U-1798,,,
208159,001,7776838,,,,U-1791,,,
208194,001,9144568,,,,U-1542,,,
206030,001,9629797,,,,U-2004,,,
204308,001,8778366,,,,U-3,,,
204308,001,8778366,,,,U-71,,,
207947,003,9173881,,,,U-1798,,,
207947,004,7205302,,Y,Y,U-1797,,,
207947,005,7205302,,Y,Y,U-1797,,,
207947,006,7205302,,Y,Y,U-1797,,,
207947,008,9173881,,,,U-1798,,,
204410,001,9265762,,,Y,U-1820,,,
