IngredientRxCUI,ProductRxCUI,NDC11,PackSize,UoM,UnitsPerPack,GTIN,RefrigeratedFlag,IsCurrent
327361,2640889,00597037072,,,,,0,1
327361,2640889,00597037082,,,,,0,1
327361,2640892,00597040089,,,,,0,1
327361,2640894,00597040510,,,,,0,1
327361,2640894,00597040580,,,,,0,1
327361,2640898,00597037548,,,,,0,1
327361,2640898,00597037553,,,,,0,1
327361,2640898,00597037597,,,,,0,1
327361,2641650,61314050964,,,,,0,1
327361,2641654,61314047664,,,,,0,1
327361,2641654,83457010801,,,,,0,1
327361,2641658,61314047320,,,,,0,1
327361,2641658,61314047377,,,,,0,1
327361,2641658,61314047392,,,,,0,1
327361,2641658,83457010001,,,,,0,1
327361,2641658,83457020040,,,,,0,1
327361,2641661,61314047364,,,,,0,1
327361,2641661,83457010101,,,,,0,1
327361,2641661,83457020146,,,,,0,1
327361,2641663,61314045420,,,,,0,1
327361,2641663,83457010701,,,,,0,1
327361,2663904,55513039901,,,,,0,1
327361,2663904,72511039901,,,,,0,1
327361,2663904,84612039901,,,,,0,1
327361,2663907,55513047901,,,,,0,1
327361,2663907,55513047902,,,,,0,1
327361,2663907,72511047901,,,,,0,1
327361,2663907,72511047902,,,,,0,1
327361,2663907,84612047901,,,,,0,1
327361,2663907,84612047902,,,,,0,1
327361,2663910,55513048201,,,,,0,1
327361,2663910,55513048202,,,,,0,1
327361,2663910,72511048201,,,,,0,1
327361,2663910,72511048202,,,,,0,1
327361,2663910,84612048201,,,,,0,1
327361,2663910,84612048202,,,,,0,1
327361,2663913,55513048001,,,,,0,1
327361,2663913,55513048002,,,,,0,1
327361,2663915,55513048101,,,,,0,1
327361,2663915,55513048102,,,,,0,1
327361,2663915,72511048101,,,,,0,1
327361,2663915,72511048102,,,,,0,1
327361,2663915,84612048101,,,,,0,1
327361,2663915,84612048102,,,,,0,1
327361,2665422,83457010201,,,,,0,1
327361,2665422,83457020250,,,,,0,1
327361,2665426,83457010301,,,,,0,1
327361,2665426,83457020356,,,,,0,1
327361,2668071,00025031801,,,,,0,1
327361,2668071,00025032501,,,,,0,1
327361,2668071,00025032502,,,,,0,1
327361,2668071,00069031801,,,,,0,1
327361,2668071,00069032501,,,,,0,1
327361,2668071,00069032502,,,,,0,1
327361,2668078,00025031701,,,,,0,1
327361,2668078,00025032801,,,,,0,1
327361,2668078,00025032802,,,,,0,1
327361,2668078,00069031701,,,,,0,1
327361,2668078,00069032801,,,,,0,1
327361,2668078,00069032802,,,,,0,1
327361,2668096,00025032901,,,,,0,1
327361,2668096,00025033302,,,,,0,1
327361,2668096,00069032901,,,,,0,1
327361,2668096,00069033302,,,,,0,1
327361,2668484,72606002401,,,,,0,1
327361,2668486,72606002301,,,,,0,1
327361,2668486,72606002302,,,,,0,1
327361,2668486,72606002303,,,,,0,1
327361,2668488,72606002304,,,,,0,1
327361,2668488,72606002305,,,,,0,1
327361,2677787,51759040202,,,,,0,1
327361,2677787,51759040217,,,,,0,1
327361,2677787,51759051321,,,,,0,1
327361,2680746,00597048012,,,,,0,1
327361,2680746,00597048520,,,,,0,1
327361,2680746,00597048546,,,,,0,1
327361,2680746,00597049032,,,,,0,1
327361,2680750,00597049547,,,,,0,1
327361,2680750,00597049550,,,,,0,1
327361,2688823,51759038622,,,,,0,1
327361,2688823,51759049731,,,,,0,1
327361,2688827,51759041222,,,,,0,1
327361,2688827,51759062431,,,,,0,1
327361,2688829,51759052321,,,,,0,1
327361,2688829,51759063431,,,,,0,1
327361,2699319,65219055808,,,,,0,1
327361,2699319,65219056201,,,,,0,1
327361,2706645,51759027417,,,,,0,1
327361,2706645,51759038421,,,,,0,1
327361,727705,00074379902,,,,,0,1
327361,727705,00074379971,,,,,0,1
327361,2639651,72606002209,,,,,0,1
327361,2639651,72606002210,,,,,0,1
327361,2639651,72606002211,,,,,0,1
327361,2639651,72606002212,,,,,0,1
327361,2639659,72606002201,,,,,0,1
327361,2639659,72606002202,,,,,0,1
327361,2639659,72606002203,,,,,0,1
327361,2639659,72606002204,,,,,0,1
327361,2639659,72606002205,,,,,0,1
327361,2639659,72606002206,,,,,0,1
327361,2639659,72606002207,,,,,0,1
327361,2639659,72606002208,,,,,0,1
327361,2640287,78206020301,,,,,0,1
327361,2640287,78206020399,,,,,0,1
327361,2640302,78206020401,,,,,0,1
327361,2640302,78206020499,,,,,0,1
327361,2640404,49502041602,,,,,0,1
327361,2640404,49502041606,,,,,0,1
327361,2640404,51407083402,,,,,0,1
327361,2640404,51407084402,,,,,0,1
327361,2640404,83257002232,,,,,0,1
327361,2640412,49502041702,,,,,0,1
327361,2640412,49502041706,,,,,0,1
327361,2640412,83257002042,,,,,0,1
327361,2640417,49502041802,,,,,0,1
327361,2640417,49502041806,,,,,0,1
327361,2640417,51407083502,,,,,0,1
327361,2640417,51407084602,,,,,0,1
327361,2640417,83257002142,,,,,0,1
327361,2640419,78206020501,,,,,0,1
327361,2640419,78206020599,,,,,0,1
327361,2640425,78206020701,,,,,0,1
327361,2640425,78206020799,,,,,0,1
327361,2640430,78206020601,,,,,0,1
327361,2640430,78206020699,,,,,0,1
327361,2640851,65219061802,,,,,0,1
327361,2640851,65219062020,,,,,0,1
327361,2640859,65219061002,,,,,0,1
327361,2640859,65219061299,,,,,0,1
327361,2640883,00597054010,,,,,0,1
327361,2640883,00597059026,,,,,0,1
327361,2640883,00597059520,,,,,0,1
327361,2640883,82009015022,,,,,0,1
327361,2640883,82009015111,,,,,0,1
327361,2640891,00597058037,,,,,0,1
327361,2640891,00597058589,,,,,0,1
327361,2640893,00597055006,,,,,0,1
327361,2640893,00597055580,,,,,0,1
327361,2640895,00597054522,,,,,0,1
327361,2640895,82009014822,,,,,0,1
327361,2640895,82009014911,,,,,0,1
327361,2641644,61314039164,,,,,0,1
327361,2641644,61314039194,,,,,0,1
327361,2641653,61314033264,,,,,0,1
327361,2641653,61314033294,,,,,0,1
327361,2641655,61314032720,,,,,0,1
327361,2641660,61314032764,,,,,0,1
327361,2641662,61314032520,,,,,0,1
327361,2641662,61314032596,,,,,0,1
327361,2668483,72606004101,,,,,0,1
327361,2668485,72606004001,,,,,0,1
327361,2668485,72606004002,,,,,0,1
327361,2668485,72606004003,,,,,0,1
327361,2668487,72606004004,,,,,0,1
327361,2668487,72606004005,,,,,0,1
327361,2677780,51759036002,,,,,0,1
327361,2677780,51759036821,,,,,0,1
327361,2677780,82009015622,,,,,0,1
327361,2677780,82009015711,,,,,0,1
327361,2680743,00597056012,,,,,0,1
327361,2680743,00597056520,,,,,0,1
327361,2680743,82009014622,,,,,0,1
327361,2680743,82009014711,,,,,0,1
327361,2680748,00597057032,,,,,0,1
327361,2680748,00597057550,,,,,0,1
327361,2680748,82009014422,,,,,0,1
327361,2680748,82009014511,,,,,0,1
327361,2688826,82009015822,,,,,0,1
327361,2688826,82009015911,,,,,0,1
327361,2706644,51759036117,,,,,0,1
153165,262095,00071015823,,,,,0,1
153165,262095,00071015892,,,,,0,1
153165,262095,58151015877,,,,,0,1
153165,262095,58864083430,,,,,0,1
153165,262095,63629336601,,,,,0,1
153165,262095,63629336602,,,,,0,1
153165,262095,63629336603,,,,,0,1
153165,262095,63629336604,,,,,0,1
153165,617314,00071015523,,,,,0,1
153165,617314,00071015540,,,,,0,1
153165,617314,13411011301,,,,,0,1
153165,617314,13411011303,,,,,0,1
153165,617314,13411011306,,,,,0,1
153165,617314,13411011309,,,,,0,1
153165,617314,13411011315,,,,,0,1
153165,617314,33358021001,,,,,0,1
153165,617314,33358021030,,,,,0,1
153165,617314,33358021060,,,,,0,1
153165,617314,33358021090,,,,,0,1
153165,617314,52959075990,,,,,0,1
153165,617314,55289087030,,,,,0,1
153165,617314,58151015577,,,,,0,1
153165,617314,58864060830,,,,,0,1
153165,617314,63629144601,,,,,0,1
153165,617314,63629144602,,,,,0,1
153165,617314,66105011309,,,,,0,1
153165,617314,68071039930,,,,,0,1
153165,617318,00071015623,,,,,0,1
153165,617318,00071015640,,,,,0,1
153165,617318,00071015694,,,,,0,1
153165,617318,13411011401,,,,,0,1
153165,617318,13411011403,,,,,0,1
153165,617318,13411011406,,,,,0,1
153165,617318,13411011409,,,,,0,1
153165,617318,13411011415,,,,,0,1
153165,617318,52959076090,,,,,0,1
153165,617318,55289080030,,,,,0,1
153165,617318,58151015677,,,,,0,1
153165,617318,58864068530,,,,,0,1
153165,617318,63629144701,,,,,0,1
153165,617318,66105011409,,,,,0,1
153165,617318,68071015430,,,,,0,1
153165,617320,00071015723,,,,,0,1
153165,617320,00071015740,,,,,0,1
153165,617320,13411011501,,,,,0,1
153165,617320,13411011503,,,,,0,1
153165,617320,13411011506,,,,,0,1
153165,617320,13411011509,,,,,0,1
153165,617320,13411011515,,,,,0,1
153165,617320,52959004630,,,,,0,1
153165,617320,55289086130,,,,,0,1
153165,617320,55887092930,,,,,0,1
153165,617320,58151015777,,,,,0,1
153165,617320,58864062315,,,,,0,1
153165,617320,58864062330,,,,,0,1
153165,617320,66105011509,,,,,0,1
153165,617320,68071031030,,,,,0,1
153165,259255,00093505705,,,,,0,1
153165,259255,00093505798,,,,,0,1
153165,259255,00378395305,,,,,0,1
153165,259255,00378395307,,,,,0,1
153165,259255,00378395309,,,,,0,1
153165,259255,00378395377,,,,,0,1
153165,259255,00440712830,,,,,0,1
153165,259255,00615800905,,,,,0,1
153165,259255,00615800907,,,,,0,1
153165,259255,00615800939,,,,,0,1
153165,259255,00781538892,,,,,0,1
153165,259255,00904629304,,,,,0,1
153165,259255,10135065305,,,,,0,1
153165,259255,16571013909,,,,,0,1
153165,259255,16571013910,,,,,0,1
153165,259255,16571013950,,,,,0,1
153165,259255,16714017601,,,,,0,1
153165,259255,16714017602,,,,,0,1
153165,259255,16714017603,,,,,0,1
153165,259255,16714087701,,,,,0,1
153165,259255,16714087702,,,,,0,1
153165,259255,16714087703,,,,,0,1
153165,259255,16729004701,,,,,0,1
153165,259255,16729004710,,,,,0,1
153165,259255,16729004715,,,,,0,1
153165,259255,16729004716,,,,,0,1
153165,259255,16729004717,,,,,0,1
153165,259255,24658051010,,,,,0,1
