BLANumber,ProperName,ProprietaryName,Applicant,DosageForm,Route,Strength,ReferenceProductName,IsReferenceProductFlag,BLAApprovalDate
103133,Immune Globulin Intravenous (Human),"Gammagard, Gammagard S/D, Iveegam","Takeda Pharmaceuticals U.S.A., Inc.",For Injection,Intravenous,10G,N/A,Y,2000-07-27
103133,Immune Globulin Intravenous (Human),"Gammagard, Gammagard S/D, Iveegam","Takeda Pharmaceuticals U.S.A., Inc.",For Injection,Intravenous,2.5G,N/A,Y,2000-07-27
103133,Immune Globulin Intravenous (Human),"Gammagard, Gammagard S/D, Iveegam","Takeda Pharmaceuticals U.S.A., Inc.",For Injection,Intravenous,5.0G,N/A,Y,2000-07-27
103141,Digoxin Immune Fab (Ovine),Digibind,Wellcome Foundation Limited Wellcome Research Laboratories,For Injection,Intravenous,38MG,N/A,Y,1986-04-22
103145,interferon alfa-2a,Roferon-A,Hoffmann-La Roche Inc.,For Injection,Subcutaneous,3MIU/0.5ML,N/A,Y,1986-06-04
103158,interferon alfa-n3 (human leukocyte derived),Alferon N Injection,AIM ImmunoTech Inc.,Injection,Intravenous,5MILLION IU/1ML,N/A,Y,1989-10-10
103171,Tetanus and Diphtheria Toxoids Adsorbed,Tenivac,Sanofi Pasteur Limited,Injection,Intramuscular,"5LF,2LF/.5ML",N/A,Y,2003-11-03
103172,alteplase,Activase,"Genentech, Inc.",For Injection,Intravenous,50MG,N/A,Y,1987-11-13
103172,alteplase,Activase,"Genentech, Inc.",For Injection,Intravenous,100MG,N/A,Y,1987-11-13
103172,alteplase,Cathflo Activase,"Genentech, Inc.",For Injection,Intravenous,2MG,N/A,Y,2001-09-04
103174,Alpha-1-Proteinase Inhibitor (Human),"prolastin,prolastin-c,prolastin-c liquid",Grifols Therapeutics LLC,For Injection,Intravenous,1000MG,N/A,Y,1987-12-02
103174,Alpha-1-Proteinase Inhibitor (Human),"prolastin,prolastin-c,prolastin-c liquid",Grifols Therapeutics LLC,For Injection,Intravenous,500MG,N/A,Y,1987-12-02
103174,Alpha-1-Proteinase Inhibitor (Human),"prolastin,prolastin-c,prolastin-c liquid",Grifols Therapeutics LLC,Injection,Intravenous,1000MG/20ML,N/A,Y,2017-09-08
103174,Alpha-1-Proteinase Inhibitor (Human),"prolastin,prolastin-c,prolastin-c liquid",Grifols Therapeutics LLC,Injection,Intravenous,4000MG/80ML,N/A,Y,2020-03-05
103174,Alpha-1-Proteinase Inhibitor (Human),"prolastin,prolastin-c,prolastin-c liquid",Grifols Therapeutics LLC,Injection,Intravenous,500MG/10ML,N/A,Y,2020-03-05
103189,Cytomegalovirus Immune Globulin Intravenous (Human),Cytogam,Kamada Ltd.,Injection,Intravenous,2.5G/50ML,N/A,Y,1990-04-17
